unique_id,date,time_analyzed,medium,data_type,data_provider,instrument,replicate_num,analytical_session_id,plant_id,unit_type_id,unit_sub_id,measurement_point,parameter_name,units,value,uncertainty,source_file,source_sheet,source_col_idx,date_generated,notes,flag_match
PLANT_A_secondary_clarifier_20250412_01,2025-04-12,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.9935751,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250412_01,2025-04-12,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,45.99357506304,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250413_01,2025-04-13,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,35.3170042,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250413_01,2025-04-13,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,35.31700421438399,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250413_01,2025-04-13,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,47.2636821,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250413_01,2025-04-13,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,47.2636820868,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250414_01,2025-04-14,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,35.2019274,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250414_01,2025-04-14,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,35.201927400144,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250414_01,2025-04-14,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,50.2556792,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_secondary_clarifier_20250414_01,2025-04-14,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,secondary_clarifier,,outlet,calcium,mg/L,50.25567917688,0.222444,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250415_01,2025-04-15,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,34.1918087,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
PLANT_A_primary_clarifier_20250415_01,2025-04-15,2025-07-01,aqueous,deployment,CREW,IC,1,YASIC_IC_YYYYMMDD,PLANT_A,primary_clarifier,,outlet,calcium,mg/L,34.1918087232,0.24048,raw_filename.csv,sheet_name,,1900-01-01,,TRUE
